Units,Optimizer,Dropout,Train Acc,Train Loss,Val Acc,Val Loss,Test Acc,Test Loss,Test Time,,,,,
700,adagrad,0.1,89.79%,0.2537,90.12%,0.231,89.76%,0.2384,0.2964,,,,,
32,adam,0.2,88.45%,0.2839,90.41%,0.2088,89.72%,0.2322,0.1163,,,,,
256,sgd,0.15,89.96%,0.2403,90.26%,0.2089,89.57%,0.2202,0.1409,,,,,
32,nadam,0.25,87.80%,0.2982,90.26%,0.2217,89.47%,0.2515,0.1115,,,,,
64,sgd,0.25,87.12%,0.312,87.92%,0.3007,89.23%,0.2803,0.1248,,,,,
32,adamax,0.25,87.13%,0.3217,89.68%,0.2399,89.18%,0.2612,0.1052,,,,,
32,sgd,0.1,88.29%,0.2803,90.26%,0.231,89.03%,0.2612,0.1067,,,,,
512,adagard,0.1,88.69%,0.2769,89.24%,0.2508,88.69%,0.2611,0.2149,,,,,
64,sgd,0.2,87.92%,0.2957,87.23%,0.3162,88.49%,0.2860,0.1068,,,,,
512,adagard,0.15,88.33%,0.2879,88.41%,0.2572,88.10%,0.2688,0.2075,,,,,
512,adagard,0.2,87.84%,0.2986,88.65%,0.2644,87.81%,0.2731,0.2240,,,,,
32,sgd,0.15,87.27%,0.3135,89.53%,0.2799,87.71%,0.3124,0.1071,,,,,
256,adagrad,0.1,86.57%,0.3262,87.04%,0.2896,87.51%,0.3262,0.1360,,,,,
512,adagard,0.25,87.19%,0.3108,88.06%,0.2694,87.46%,0.2800,0.2126,,,,,
32,sgd,0.2,85.79%,0.3511,87.72%,0.2754,87.41%,0.2940,0.1079,,,,,
32,sgd,0.25,85.53%,0.3629,87.57%,0.2806,87.17%,0.3014,0.1057,,,,,
256,adagrad,0.2,85.24%,0.362,86.74%,0.3077,86.78%,0.3156,0.1204,,,,,
256,adagrad,0.15,85.78%,0.3454,86.89%,0.3034,86.43%,0.3135,0.1247,,,,,
256,adagrad,0.25,85.14%,0.3659,86.89%,0.3124,85.75%,0.3215,0.1244,,,,,
128,adagrad,0.1,83.67%,0.399,84.83%,0.3698,84.82%,0.3683,0.1102,,,,,
128,adagrad,0.15,82.89%,0.4198,83.90%,0.3841,84.52%,0.3789,0.1113,,,,,
128,adagrad,0.2,82.06%,0.4469,83.46%,0.4028,83.69%,0.4019,0.1095,,,,,
128,adagrad,0.25,80.88%,0.4754,82.09%,0.4305,82.03%,0.4265,0.1164,,,,,
64,adagrad,0.1,79.57%,0.5093,79.21%,0.4729,79.48%,0.4913,0.1144,,,,,
64,adagrad,0.15,78.86%,0.5337,79.11%,0.4915,78.94%,0.5095,0.1136,,,,,
64,adagrad,0.2,77.86%,0.5701,78.28%,0.5282,78.75%,0.5429,0.1060,,,,,
64,adagrad,0.25,77.07%,0.5982,77.54%,0.5573,78.75%,0.5650,0.1053,,,,,
32,adagrad,0.1,76.84%,0.6224,77.15%,0.5925,77.86%,0.5968,0.1042,,,,,
32,adagrad,0.15,75.16%,0.6676,76.66%,0.6306,77.42%,0.6331,0.1113,,,,,
32,adagrad,0.2,75.04%,0.6788,76.22%,0.6337,77.23%,0.6349,0.1115,,,,,
32,adagrad,0.25,73.50%,0.723,75.05%,0.6767,75.61%,0.6729,0.1061,,,,,
700,adam,0.25,89.56%,0.2598,92.66%,0.1788,92.16%,0.1991,0.1575,,,,,
700,adamax,0.1,93.52%,0.1555,93.59%,0.1549,92.56%,0.1696,0.1609,,,,,
700,adamax,0.15,93.05%,0.1663,94.18%,0.1434,93.24%,0.1626,0.1681,,,,,
700,adamax,0.2,92.74%,0.1692,93.20%,0.154,93.93%,0.1441,0.1638,,,,,
700,adamax,0.25,92.36%,0.1809,93.05%,0.1566,92.75%,0.1588,0.1637,,,,,
700,nadam,0.1,92.17%,0.1873,94.52%,0.1423,93.00%,0.1704,0.1580,,,,,
700,nadam,0.15,91.71%,0.2037,92.17%,0.2037,92.12%,0.1950,0.1729,,,,,
700,nadam,0.2,90.82%,0.2222,92.37%,0.176,92.36%,0.1835,0.1697,,,,,
700,nadam,0.25,90.11%,0.2439,91.59%,0.2259,91.04%,0.2364,0.1548,,,,,
700,sgd,0.1,91.02%,0.2149,92.27%,0.1889,91.48%,0.1930,0.1586,,,,,
700,sgd,0.15,90.53%,0.2196,88.75%,0.2511,89.72%,0.2412,0.1673,,,,,
700,sgd,0.2,90.28%,0.2294,90.85%,0.2162,90.65%,0.2096,0.1662,,,,,
700,sgd,0.25,90.01%,0.2365,92.03%,0.1972,90.70%,0.2124,0.1423,,,,,
